"month","date","State","Expected","Population","Observed","monthlyxs","sumxs","correctedpopulation","irxsuncorrected","irxscorrected","expcorr","xscorrMO","irxscorr"
201504,2015-04-01,"Iowa",2461,3120558,2461,0,0,3120558,0,0,2461,0,0
201504,2015-04-01,"Kansas",2123,2909241,2123,0,0,2909241,0,0,2123,0,0
201504,2015-04-01,"Kentucky",3778,4427103.66666667,3778,0,0,4427103.66666667,0,0,3778,0,0
201504,2015-04-01,"Louisiana",3552,4663488,3552,0,0,4663488,0,0,3552,0,0
201504,2015-04-01,"Maine",1226,1329451.16666667,1226,0,0,1329451.16666667,0,0,1226,0,0
201504,2015-04-01,"Maryland",3812,5983784,3812,0,0,5983784,0,0,3812,0,0
201504,2015-04-01,"Massachusetts",4969,6792047.33333333,4969,0,0,6792047.33333333,0,0,4969,0,0
201504,2015-04-01,"Michigan",8026,9934074.66666667,8026,0,0,9934074.66666667,0,0,8026,0,0
201504,2015-04-01,"Minnesota",3640,5478779.16666667,3640,0,0,5478779.16666667,0,0,3640,-4.54747350886464e-13,-8.30015843042522e-15
201504,2015-04-01,"Mississippi",2626,2990507.83333333,2626,0,0,2990507.83333333,0,0,2626,0,0
201504,2015-04-01,"Missouri",4968,6072697.5,4968,0,0,6072697.5,0,0,4968,0,0
201504,2015-04-01,"Montana",825,1030022,825,0,0,1030022,0,0,825,0,0
201504,2015-04-01,"Nebraska",1389,1890041.66666667,1389,0,0,1890041.66666667,0,0,1389,0,0
201504,2015-04-01,"Nevada",1871,2860265,1871,0,0,2860265,0,0,1871,2.27373675443232e-13,7.94939194246799e-15
201504,2015-04-01,"New Hampshire",1039,1336942.83333333,1039,0,0,1336942.83333333,0,0,1039,0,0
201504,2015-04-01,"New Jersey",5975,8869806.16666667,5975,0,0,8869806.16666667,0,0,5975,0,0
201504,2015-04-01,"New Mexico",1463,2090098.5,1463,0,0,2090098.5,0,0,1463,0,0
201504,2015-04-01,"New York",12963,19656672.6666667,12963,0,0,19656672.6666667,0,0,12963,0,0
201504,2015-04-01,"North Carolina",7145,10020564.1666667,7145,0,0,10020564.1666667,0,0,7145,0,0
201504,2015-04-01,"North Dakota",549,752736.833333333,549,0,0,752736.833333333,0,0,549,0,0
201504,2015-04-01,"Ohio",9989,11619691.3333333,9989,0,0,11619691.3333333,0,0,9989,0,0
201504,2015-04-01,"Oklahoma",3115,3905296.16666667,3115,0,0,3905296.16666667,0,0,3115,0,0
201504,2015-04-01,"Oregon",2913,4009692.83333333,2913,0,0,4009692.83333333,0,0,2913,0,0
201504,2015-04-01,"Pennsylvania",11093,12790263.6666667,11093,0,0,12790263.6666667,0,0,11093,0,0
201504,2015-04-01,"Rhode Island",850,1056823.5,850,0,0,1056823.5,0,0,850,0,0
